City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iquique,-20.2208,-70.1431,73.13,74,93,1.52,CL,Mon Feb 19 15:13:59 2024
1,san luis de la loma,17.2706,-100.8939,83.25,54,2,8.03,MX,Mon Feb 19 15:18:01 2024
2,adamstown,-25.066,-130.1015,78.12,84,95,14.14,PN,Mon Feb 19 15:18:01 2024
3,tiksi,71.6872,128.8694,-37.07,98,45,5.39,RU,Mon Feb 19 15:18:02 2024
4,sahab,31.8721,36.005,47.03,87,40,5.75,JO,Mon Feb 19 15:18:02 2024
5,la passe,45.5549,-0.8967,50.99,91,99,7.29,FR,Mon Feb 19 15:18:03 2024
6,grytviken,-54.2811,-36.5092,38.82,82,80,17.13,GS,Mon Feb 19 15:18:04 2024
7,mitu,1.1983,-70.1733,84.29,70,96,1.16,CO,Mon Feb 19 15:18:06 2024
8,mata-utu,-13.2816,-176.1745,82.76,82,100,22.06,WF,Mon Feb 19 15:18:07 2024
9,xishan,27.6667,113.5,53.1,94,100,4.21,CN,Mon Feb 19 15:18:07 2024
10,invercargill,-46.4,168.35,54.01,63,36,15.01,NZ,Mon Feb 19 15:13:27 2024
11,canton,23.1167,113.25,71.55,86,5,8.34,CN,Mon Feb 19 15:17:05 2024
12,vernon,50.2581,-119.2691,44.76,62,98,5.01,CA,Mon Feb 19 15:18:09 2024
13,wailua homesteads,22.0669,-159.378,75.63,53,100,19.57,US,Mon Feb 19 15:18:10 2024
14,nar'yan-mar,67.6713,53.087,18.1,91,100,21.99,RU,Mon Feb 19 15:18:10 2024
15,saint-pierre,-21.3393,55.4781,76.68,73,0,17.27,RE,Mon Feb 19 15:18:11 2024
16,at taj,24.2049,23.2857,54.46,44,26,11.68,LY,Mon Feb 19 15:18:11 2024
17,port-aux-francais,-49.35,70.2167,46.87,95,99,31.18,TF,Mon Feb 19 15:18:12 2024
18,edinburgh of the seven seas,-37.0676,-12.3116,58.96,60,86,5.1,SH,Mon Feb 19 15:18:12 2024
19,remire-montjoly,4.9167,-52.2667,82.44,74,40,6.91,GF,Mon Feb 19 15:18:12 2024
20,waitangi,-43.9535,-176.5597,61.83,70,87,14.0,NZ,Mon Feb 19 15:18:13 2024
21,raja,8.4596,25.678,76.6,16,70,4.45,SS,Mon Feb 19 15:18:13 2024
22,yangambi,0.8102,24.4336,76.15,67,78,1.66,CD,Mon Feb 19 15:18:15 2024
23,san fernando de apure,7.8878,-67.4724,95.97,27,86,8.39,VE,Mon Feb 19 15:18:16 2024
24,yellowknife,62.456,-114.3525,5.41,66,40,5.75,CA,Mon Feb 19 15:18:16 2024
25,talnakh,69.4865,88.3972,-0.8,97,100,16.42,RU,Mon Feb 19 15:14:11 2024
26,puerto natales,-51.7236,-72.4875,64.85,72,75,3.44,CL,Mon Feb 19 15:18:17 2024
27,bodaybo,57.8506,114.1933,-8.75,88,100,9.66,RU,Mon Feb 19 15:18:18 2024
28,papatowai,-46.5619,169.4708,53.31,48,56,15.57,NZ,Mon Feb 19 15:18:18 2024
29,geiro,-6.15,36.8667,64.31,92,100,0.6,TZ,Mon Feb 19 15:18:19 2024
30,villa gesell,-37.2639,-56.973,73.06,83,1,10.02,AR,Mon Feb 19 15:18:19 2024
31,whitehorse,60.7161,-135.0538,35.1,80,75,6.91,CA,Mon Feb 19 15:18:20 2024
32,mount isa,-20.7333,139.5,78.57,89,100,0.0,AU,Mon Feb 19 15:18:21 2024
33,ribeira grande,38.5167,-28.7,63.77,94,100,5.99,PT,Mon Feb 19 15:18:22 2024
34,bethel,41.3712,-73.414,36.93,36,0,6.91,US,Mon Feb 19 15:17:52 2024
35,jamestown,42.097,-79.2353,31.51,70,17,4.97,US,Mon Feb 19 15:17:52 2024
36,maceio,-9.6658,-35.7353,81.84,94,40,5.75,BR,Mon Feb 19 15:18:25 2024
37,vengerovo,55.6848,76.7471,-28.84,100,11,5.17,RU,Mon Feb 19 15:18:25 2024
38,paracuru,-3.41,-39.0306,83.1,83,63,6.51,BR,Mon Feb 19 15:18:26 2024
39,vodnyy,63.5046,53.4095,16.41,93,97,9.78,RU,Mon Feb 19 15:18:26 2024
40,udachny,66.4167,112.4,-4.56,83,100,2.46,RU,Mon Feb 19 15:18:27 2024
41,qamdo,31.1667,97.2333,22.71,54,100,5.84,CN,Mon Feb 19 15:18:27 2024
42,el calafate,-50.3408,-72.2768,62.89,70,73,9.44,AR,Mon Feb 19 15:18:27 2024
43,ushuaia,-54.8,-68.3,53.26,66,75,12.66,AR,Mon Feb 19 15:14:08 2024
44,harper,4.375,-7.7169,81.01,89,47,6.46,LR,Mon Feb 19 15:18:28 2024
45,ilulissat,69.2167,-51.1,35.62,44,20,26.46,GL,Mon Feb 19 15:18:29 2024
46,acapulco de juarez,16.8634,-99.8901,82.22,65,0,14.97,MX,Mon Feb 19 15:17:05 2024
47,qaqortoq,60.7167,-46.0333,33.82,82,93,11.54,GL,Mon Feb 19 15:18:30 2024
48,aykhal,66.0,111.5,-4.05,88,100,5.35,RU,Mon Feb 19 15:18:30 2024
49,taltal,-25.4,-70.4833,70.9,75,100,5.08,CL,Mon Feb 19 15:18:31 2024
50,hadibu,12.65,54.0333,74.37,71,20,6.44,YE,Mon Feb 19 15:18:31 2024
51,petropavlovsk-kamchatsky,53.0452,158.6483,14.59,91,100,6.71,RU,Mon Feb 19 15:14:13 2024
