City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bangassou,4.7413,22.8184,79.09,40,5,0.45,CF,Tue Feb 13 13:31:03 2024
1,iqaluit,63.7506,-68.5145,-4.27,70,75,2.3,CA,Tue Feb 13 13:31:04 2024
2,udachny,66.4167,112.4,-33.56,66,100,5.79,RU,Tue Feb 13 13:31:04 2024
3,atafu village,-8.5421,-172.5159,81.0,86,100,24.58,TK,Tue Feb 13 13:31:05 2024
4,lib,8.3122,167.3766,80.17,68,100,18.5,MH,Tue Feb 13 13:31:06 2024
5,grytviken,-54.2811,-36.5092,44.28,95,100,4.56,GS,Tue Feb 13 13:31:06 2024
6,zaxo,37.1482,42.7001,56.26,54,100,7.74,IQ,Tue Feb 13 13:31:07 2024
7,waitangi,-43.9535,-176.5597,61.83,91,4,1.99,NZ,Tue Feb 13 13:31:07 2024
8,margaret river,-33.95,115.0667,54.12,81,97,10.83,AU,Tue Feb 13 13:31:08 2024
9,okahao,-17.885,15.0667,83.46,42,26,5.75,NA,Tue Feb 13 13:31:09 2024
10,crane,31.3974,-102.3501,66.18,16,23,15.46,US,Tue Feb 13 13:31:09 2024
11,tevriz,57.509,72.4042,12.29,95,100,6.69,RU,Tue Feb 13 13:31:10 2024
12,albany,42.6001,-73.9662,41.45,56,100,3.0,US,Tue Feb 13 13:30:51 2024
13,storm lake,42.6411,-95.2097,43.45,52,0,5.75,US,Tue Feb 13 13:31:11 2024
14,whitehorse,60.7161,-135.0538,23.09,74,75,11.5,CA,Tue Feb 13 13:26:12 2024
15,west island,-12.1568,96.8225,82.38,74,40,9.22,CC,Tue Feb 13 13:31:12 2024
16,broken hill,-31.95,141.4333,59.77,60,0,21.72,AU,Tue Feb 13 13:31:12 2024
17,adamstown,-25.066,-130.1015,76.82,87,99,16.89,PN,Tue Feb 13 13:31:13 2024
18,vorgashor,67.5833,63.95,-26.16,97,9,5.79,RU,Tue Feb 13 13:31:13 2024
19,colac,-38.3333,143.5833,52.09,50,100,7.74,AU,Tue Feb 13 13:31:14 2024
20,qaqortoq,60.7167,-46.0333,32.56,99,100,6.2,GL,Tue Feb 13 13:31:14 2024
21,mana,5.6592,-53.7767,82.08,76,65,10.31,GF,Tue Feb 13 13:31:15 2024
22,labytnangi,66.6572,66.4183,-24.25,97,49,4.5,RU,Tue Feb 13 13:31:15 2024
23,edinburgh of the seven seas,-37.0676,-12.3116,64.53,80,52,7.92,SH,Tue Feb 13 13:31:16 2024
24,puerto ayora,-0.7393,-90.3518,83.55,91,38,5.99,EC,Tue Feb 13 13:31:17 2024
25,puerto natales,-51.7236,-72.4875,66.65,52,75,24.16,CL,Tue Feb 13 13:31:18 2024
26,thompson,55.7435,-97.8558,21.36,86,100,6.91,CA,Tue Feb 13 13:31:19 2024
27,ilulissat,69.2167,-51.1,-11.18,58,20,3.44,GL,Tue Feb 13 13:31:19 2024
28,kamaishi,39.2667,141.8833,48.29,79,37,13.58,JP,Tue Feb 13 13:31:20 2024
29,cidreira,-30.1811,-50.2056,70.11,88,100,16.46,BR,Tue Feb 13 13:31:22 2024
30,hithadhoo,-0.6,73.0833,83.05,80,100,14.72,MV,Tue Feb 13 13:31:22 2024
31,klaksvik,62.2266,-6.589,38.32,72,94,18.23,FO,Tue Feb 13 13:31:23 2024
32,sechura,-5.5569,-80.8222,87.6,56,79,15.32,PE,Tue Feb 13 13:31:24 2024
33,ugoofaaru,5.6667,73.0,81.93,74,50,11.39,MV,Tue Feb 13 13:31:24 2024
34,ceeldheer,3.8488,47.1806,78.55,84,60,17.6,SO,Tue Feb 13 13:31:26 2024
35,tiksi,71.6872,128.8694,-13.5,99,100,4.47,RU,Tue Feb 13 13:31:27 2024
36,papatowai,-46.5619,169.4708,65.3,63,0,0.56,NZ,Tue Feb 13 13:31:27 2024
37,ghat,24.9647,10.1728,65.73,39,0,8.99,LY,Tue Feb 13 13:31:28 2024
38,traverse city,44.7631,-85.6206,30.83,73,100,10.36,US,Tue Feb 13 13:31:29 2024
39,meadow lake,34.8014,-106.5436,54.68,31,66,4.56,US,Tue Feb 13 13:31:30 2024
40,krivosheino,57.3431,83.9261,9.0,94,100,9.82,RU,Tue Feb 13 13:31:31 2024
41,puerto armuelles,8.2833,-82.8667,91.38,53,100,5.01,PA,Tue Feb 13 13:30:23 2024
42,ust-nera,64.5667,143.2,-43.06,95,83,1.23,RU,Tue Feb 13 13:31:32 2024
43,vilyuchinsk,52.9306,158.4028,-4.07,82,13,6.96,RU,Tue Feb 13 13:31:32 2024
44,la passe,45.5549,-0.8967,53.83,81,83,7.23,FR,Tue Feb 13 13:31:33 2024
45,zhuzhou,27.8333,113.15,55.53,91,1,4.05,CN,Tue Feb 13 13:31:33 2024
46,iskateley,67.6803,53.1512,-20.97,98,9,8.01,RU,Tue Feb 13 13:31:34 2024
47,magadan,59.5667,150.8,-17.7,97,79,5.73,RU,Tue Feb 13 13:31:34 2024
48,pacocha,-17.5833,-71.3333,80.74,65,0,9.22,PE,Tue Feb 13 13:31:35 2024
49,port mathurin,-19.6833,63.4167,81.5,79,84,18.41,MU,Tue Feb 13 13:31:35 2024
50,fale old settlement,-9.3852,-171.2468,83.64,79,99,27.49,TK,Tue Feb 13 13:31:36 2024
51,port alfred,-33.5906,26.891,67.17,90,50,5.01,ZA,Tue Feb 13 13:31:37 2024
52,port-aux-francais,-49.35,70.2167,46.15,88,100,21.23,TF,Tue Feb 13 13:31:38 2024
53,bethel,41.3712,-73.414,37.02,76,100,10.36,US,Tue Feb 13 13:31:38 2024
54,kruisfontein,-34.0033,24.7314,69.89,93,7,9.17,ZA,Tue Feb 13 13:31:39 2024
55,san antonio de pale,-1.4014,5.6325,83.89,79,100,5.17,GQ,Tue Feb 13 13:31:39 2024
56,pisco,-13.7,-76.2167,84.25,54,0,17.27,PE,Tue Feb 13 13:31:40 2024
57,mugia,43.1041,-9.2179,59.92,93,49,19.44,ES,Tue Feb 13 13:31:40 2024
58,tadine,-21.55,167.8833,79.75,83,31,19.53,NC,Tue Feb 13 13:31:41 2024
59,alice springs,-23.7,133.8833,74.75,53,0,0.0,AU,Tue Feb 13 13:26:43 2024
60,calvia,39.5657,2.5062,53.08,84,16,2.37,ES,Tue Feb 13 13:31:42 2024
61,yellowknife,62.456,-114.3525,8.29,85,75,4.61,CA,Tue Feb 13 13:31:42 2024
62,lamu,-2.2717,40.902,79.77,81,65,13.49,KE,Tue Feb 13 13:31:43 2024
63,gadzhiyevo,69.2551,33.3362,-0.83,97,99,14.54,RU,Tue Feb 13 13:31:44 2024
64,san patricio,28.017,-97.5169,69.89,39,89,11.63,US,Tue Feb 13 13:31:45 2024
65,stanley,54.868,-1.6985,42.39,93,40,0.0,GB,Tue Feb 13 13:30:57 2024
66,parkes,-33.1333,148.1833,71.35,76,99,4.56,AU,Tue Feb 13 13:31:46 2024
67,ubari,26.5921,12.7805,60.66,35,0,10.74,LY,Tue Feb 13 13:31:46 2024
68,nakatsugawa,35.4833,137.5,39.97,90,0,3.27,JP,Tue Feb 13 13:31:47 2024
69,michigan city,41.7075,-86.895,39.7,62,100,10.36,US,Tue Feb 13 13:31:48 2024
70,kuje,8.8796,7.2272,88.3,21,1,3.15,NG,Tue Feb 13 13:31:48 2024
71,cody,44.5263,-109.0565,43.25,28,20,11.5,US,Tue Feb 13 13:31:49 2024
72,bredasdorp,-34.5322,20.0403,65.03,84,20,4.16,ZA,Tue Feb 13 13:31:49 2024
73,anadyr,64.75,177.4833,-17.9,75,40,11.18,RU,Tue Feb 13 13:31:50 2024
74,manta,-0.95,-80.7333,83.98,83,20,15.01,EC,Tue Feb 13 13:30:10 2024
75,avarua,-21.2078,-159.775,84.25,65,20,11.5,CK,Tue Feb 13 13:31:51 2024
76,talnakh,69.4865,88.3972,-28.84,91,20,4.74,RU,Tue Feb 13 13:31:51 2024
77,la ronge,55.1001,-105.2842,16.05,79,100,18.41,CA,Tue Feb 13 13:31:52 2024
78,dudinka,69.4058,86.1778,-35.32,99,22,4.0,RU,Tue Feb 13 13:31:52 2024
79,alofi,-19.0595,-169.9187,82.29,74,40,11.5,NU,Tue Feb 13 13:31:53 2024
80,enewetak,11.3474,162.3373,79.02,78,93,15.99,MH,Tue Feb 13 13:31:53 2024
81,pitimbu,-7.4706,-34.8086,84.79,73,100,7.87,BR,Tue Feb 13 13:31:54 2024
82,chany,55.3121,76.7647,17.44,88,100,19.35,RU,Tue Feb 13 13:31:54 2024
83,isafjordur,66.0755,-23.124,22.48,78,30,8.84,IS,Tue Feb 13 13:31:55 2024
84,mendefera,14.8872,38.8153,62.17,33,24,1.86,ER,Tue Feb 13 13:31:55 2024
85,howard springs,-12.497,131.047,75.11,93,100,8.28,AU,Tue Feb 13 13:31:56 2024
86,jwaneng,-24.6004,24.7303,73.47,37,7,3.49,BW,Tue Feb 13 13:31:56 2024
87,sitka,57.0531,-135.33,37.29,75,20,3.44,US,Tue Feb 13 13:31:57 2024
88,yuzhno-kurilsk,44.0306,145.8556,32.38,87,0,4.18,RU,Tue Feb 13 13:31:57 2024
89,santa marta,11.2408,-74.199,91.45,67,20,11.5,CO,Tue Feb 13 13:28:30 2024
90,comodoro rivadavia,-45.8667,-67.5,94.86,8,0,13.8,AR,Tue Feb 13 13:28:15 2024
91,shingu,33.7333,135.9833,50.41,85,33,5.01,JP,Tue Feb 13 13:31:58 2024
92,shihezi,44.3,86.0333,9.43,96,100,2.77,CN,Tue Feb 13 13:31:59 2024
93,portland,45.5234,-122.6762,51.82,80,20,4.61,US,Tue Feb 13 13:28:41 2024
94,olonkinbyen,70.9221,-8.7187,29.43,97,100,14.36,SJ,Tue Feb 13 13:32:00 2024
95,bilibino,68.0546,166.4372,-38.54,100,92,1.66,RU,Tue Feb 13 13:32:00 2024
96,bandarbeyla,9.4942,50.8122,77.72,78,35,12.12,SO,Tue Feb 13 13:32:01 2024
97,ushuaia,-54.8,-68.3,62.22,55,40,25.32,AR,Tue Feb 13 13:32:01 2024
98,east london,-33.0153,27.9116,70.57,82,9,6.49,ZA,Tue Feb 13 13:32:02 2024
99,hermanus,-34.4187,19.2345,61.81,88,7,4.65,ZA,Tue Feb 13 13:32:03 2024
100,porto novo,6.4965,2.6036,85.82,85,0,6.26,BJ,Tue Feb 13 13:32:03 2024
101,vernon,50.2581,-119.2691,40.3,67,83,3.44,CA,Tue Feb 13 13:29:53 2024
102,wailua homesteads,22.0669,-159.378,75.63,74,0,5.75,US,Tue Feb 13 13:32:04 2024
103,sitamau,24.0167,75.35,63.23,50,84,4.63,IN,Tue Feb 13 13:32:05 2024
104,maquoketa,42.0689,-90.6657,45.34,43,14,5.17,US,Tue Feb 13 13:32:05 2024
105,laojunmiao,39.8333,97.7333,21.2,74,41,0.63,CN,Tue Feb 13 13:32:06 2024
106,ambon,-3.6954,128.1814,78.94,89,40,4.61,ID,Tue Feb 13 13:32:06 2024
107,tura,25.5198,90.2201,59.52,34,61,2.42,IN,Tue Feb 13 13:32:07 2024
108,touros,-5.1989,-35.4608,82.92,71,79,11.14,BR,Tue Feb 13 13:29:17 2024
109,klyuchi,52.2667,79.1667,17.47,66,100,20.42,RU,Tue Feb 13 13:32:08 2024
110,newman,37.3138,-121.0208,60.24,67,14,3.0,US,Tue Feb 13 13:32:09 2024
